18009 silly gunzTarPerm modes [ '777', '666' ]
18010 silly gunzTarPerm modes [ '777', '666' ]
18011 silly gunzTarPerm modes [ '777', '666' ]
18012 silly gunzTarPerm modes [ '777', '666' ]
18013 silly gunzTarPerm modes [ '777', '666' ]
18014 silly gunzTarPerm modes [ '777', '666' ]
18015 silly gunzTarPerm modes [ '777', '666' ]
18016 silly gunzTarPerm modes [ '777', '666' ]
18017 silly gunzTarPerm modes [ '777', '666' ]
18018 silly gunzTarPerm modes [ '777', '666' ]
18019 silly gunzTarPerm modes [ '777', '666' ]
18020 silly gunzTarPerm modes [ '777', '666' ]
18021 silly gunzTarPerm modes [ '777', '666' ]
18022 silly gunzTarPerm modes [ '777', '666' ]
18023 silly gunzTarPerm modes [ '777', '666' ]
18024 silly gunzTarPerm modes [ '777', '666' ]
18025 silly gunzTarPerm modes [ '777', '666' ]
18026 silly gunzTarPerm modes [ '777', '666' ]
18027 silly gunzTarPerm modes [ '777', '666' ]
18028 silly gunzTarPerm modes [ '777', '666' ]
18029 silly gunzTarPerm modes [ '777', '666' ]
18030 silly gunzTarPerm modes [ '777', '666' ]
18031 silly gunzTarPerm modes [ '777', '666' ]
18032 silly gunzTarPerm modes [ '777', '666' ]
18033 silly gunzTarPerm modes [ '777', '666' ]
18034 silly gunzTarPerm modes [ '777', '666' ]
18035 silly gunzTarPerm modes [ '777', '666' ]
18036 silly gunzTarPerm modes [ '777', '666' ]
18037 silly gunzTarPerm modes [ '777', '666' ]
18038 silly gunzTarPerm modes [ '777', '666' ]
18039 silly gunzTarPerm modes [ '777', '666' ]
18040 silly gunzTarPerm modes [ '777', '666' ]
18041 silly gunzTarPerm modes [ '777', '666' ]
18042 silly gunzTarPerm modes [ '777', '666' ]
18043 silly gunzTarPerm modes [ '777', '666' ]
18044 silly gunzTarPerm modes [ '777', '666' ]
18045 silly gunzTarPerm modes [ '777', '666' ]
18046 silly gunzTarPerm modes [ '777', '666' ]
18047 silly gunzTarPerm modes [ '777', '666' ]
18048 silly gunzTarPerm modes [ '777', '666' ]
18049 silly gunzTarPerm modes [ '777', '666' ]
18050 silly gunzTarPerm modes [ '777', '666' ]
18051 silly gunzTarPerm modes [ '777', '666' ]
18052 silly gunzTarPerm modes [ '777', '666' ]
18053 silly gunzTarPerm modes [ '777', '666' ]
18054 silly gunzTarPerm modes [ '777', '666' ]
18055 silly gunzTarPerm modes [ '777', '666' ]
18056 silly gunzTarPerm modes [ '777', '666' ]
18057 silly gunzTarPerm modes [ '777', '666' ]
18058 silly gunzTarPerm modes [ '777', '666' ]
18059 silly gunzTarPerm modes [ '777', '666' ]
18060 silly gunzTarPerm modes [ '777', '666' ]
18061 silly gunzTarPerm modes [ '777', '666' ]
18062 silly gunzTarPerm modes [ '777', '666' ]
18063 silly gunzTarPerm modes [ '777', '666' ]
18064 silly gunzTarPerm modes [ '777', '666' ]
18065 silly gunzTarPerm modes [ '777', '666' ]
18066 silly gunzTarPerm modes [ '777', '666' ]
18067 silly gunzTarPerm modes [ '777', '666' ]
18068 silly gunzTarPerm modes [ '777', '666' ]
18069 silly gunzTarPerm modes [ '777', '666' ]
18070 silly gunzTarPerm modes [ '777', '666' ]
18071 silly gunzTarPerm modes [ '777', '666' ]
18072 silly gunzTarPerm modes [ '777', '666' ]
18073 silly gunzTarPerm modes [ '777', '666' ]
18074 silly gunzTarPerm modes [ '777', '666' ]
18075 silly gunzTarPerm modes [ '777', '666' ]
18076 verbose tar unpack C:\Users\dff\AppData\Roaming\npm-cache\mkdirp\0.5.1\package.tgz
18077 verbose tar unpacking to C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\mkdirp-ac5299d7
18078 silly gentlyRm C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\mkdirp-ac5299d7 is being purged
18079 verbose gentlyRm don't care about contents; nuking C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\mkdirp-ac5299d7
18080 silly gunzTarPerm modes [ '777', '666' ]
18081 silly gunzTarPerm modes [ '777', '666' ]
18082 silly gunzTarPerm modes [ '777', '666' ]
18083 silly gunzTarPerm modes [ '777', '666' ]
18084 silly gunzTarPerm modes [ '777', '666' ]
18085 silly gunzTarPerm modes [ '777', '666' ]
18086 silly gunzTarPerm modes [ '777', '666' ]
18087 silly gunzTarPerm modes [ '777', '666' ]
18088 silly gunzTarPerm modes [ '777', '666' ]
18089 silly gunzTarPerm modes [ '777', '666' ]
18090 silly gunzTarPerm modes [ '777', '666' ]
18091 silly gunzTarPerm modes [ '777', '666' ]
18092 silly gunzTarPerm modes [ '777', '666' ]
18093 silly gunzTarPerm modes [ '777', '666' ]
18094 silly gunzTarPerm modes [ '777', '666' ]
